cow_id,date,milk_liters,fat_percent,feed_kg,feed_type
N7280,2024-06-04,19.6,3.12,14.73,Hay
T5602,2024-06-04,26.62,2.95,21.46,Hay
V9643,2024-06-04,37.25,3.07,22.27,Silage
O6552,2024-06-04,37.18,2.91,17.63,Hay
W8010,2024-06-04,40.98,3.57,15,Silage
S5427,2024-06-04,27.6,3.18,18.49,Hay
Y3782,2024-06-04,41.09,3.1,18.97,Silage
T4649,2024-06-04,24.13,3.45,17.18,Hay
F9953,2024-06-04,24.12,3.36,20.2,Hay
M1583,2024-06-04,37.93,3.43,23.51,Silage
S6386,2024-06-04,31.99,3.58,24.64,Hay
J7734,2024-06-04,32.55,3.19,20.07,Hay
G8171,2024-06-04,29.27,4.02,21.16,Silage
K9325,2024-06-04,22.58,4.98,15.92,Hay
Y7815,2024-06-04,24.69,2.85,23.24,Hay
C7126,2024-06-04,19.81,3.69,16.59,Silage
I8517,2024-06-04,34.72,3.96,20.22,Silage
B984,2024-06-04,22.83,2.95,20.66,Hay
I2506,2024-06-04,29.37,3.25,20.06,Silage
M1583,2024-06-05,33.74,2.59,27.25,Silage
G8171,2024-06-05,22.71,3.7,20.82,Silage
U6809,2024-06-05,38.91,3.02,14.02,Hay
R5369,2024-06-05,30.75,3.48,22.65,Hay
V9643,2024-06-05,35.6,2.83,13.53,Silage
U1955,2024-06-05,31.84,3.9,21.95,Hay
J6910,2024-06-05,34.37,3.34,17.32,Silage
G685,2024-06-05,35.71,3.8,25.01,Hay
Z4043,2024-06-05,30,3.19,22.88,Silage
M2207,2024-06-05,24.6,3.55,21,Hay
P3832,2024-06-05,35.54,3.33,21.04,Silage
H985,2024-06-05,34.16,3.07,22.57,Silage
Q9174,2024-06-05,32.44,3.6,17.08,Silage
N9197,2024-06-05,33.48,2.45,15.98,Silage
Z7830,2024-06-05,32.66,3.26,24.56,Silage
G2757,2024-06-05,35.69,4.2,18.69,Silage
E3229,2024-06-05,22.67,2.66,24.01,Hay
Y7815,2024-06-05,32.4,3.77,15.91,Hay
I1385,2024-06-05,38.94,3.47,22.6,Silage
R4684,2024-06-05,34.76,3.59,15.05,Hay
N7280,2024-06-05,27.96,3.6,18.28,Hay
D9038,2024-06-05,25.06,4.56,20.3,Hay
D8719,2024-06-05,30.27,3.22,24.51,Hay
T4649,2024-06-05,31.81,2.65,20.52,Hay
I7447,2024-06-05,29.73,3.03,12.6,Hay
Z3123,2024-06-05,30.09,3.58,20.1,Hay
Y9266,2024-06-05,30.69,3.98,19.4,Hay
H2377,2024-06-05,36.22,2.95,21.87,Silage
L4232,2024-06-05,26.2,3.87,18.62,Hay
J6077,2024-06-05,25.09,3.65,20.17,Silage
B3068,2024-06-05,32.91,3.83,18.28,Hay
L9829,2024-06-05,22.28,2.56,18.72,Hay
B984,2024-06-05,33.49,4.45,21.13,Hay
O8173,2024-06-05,29.07,3.55,20.35,Hay
Y6643,2024-06-05,36.19,3.03,21.53,Silage
K9325,2024-06-05,36.5,3.97,21.9,Hay
S5427,2024-06-05,33.52,4.51,23.65,Hay
K3463,2024-06-05,34.08,4.03,21.43,Hay
F9953,2024-06-05,35.26,3.06,18.23,Hay
J7734,2024-06-05,21.58,4.01,27.71,Hay
F2131,2024-06-05,27.07,4.17,16.83,Hay
J9639,2024-06-05,35.53,4.73,18.43,Silage
I8517,2024-06-05,29.05,3.89,19.9,Silage
V3979,2024-06-05,30.14,3.69,19.82,Hay
V4575,2024-06-05,38.72,2.69,16.43,Hay
C7126,2024-06-05,39.17,4.1,21.98,Silage
E6182,2024-06-05,29.89,3.76,17.16,Silage
Y4775,2024-06-05,28.84,3.02,22.48,Silage
V472,2024-06-05,47.19,3.14,16.22,Silage
Y3782,2024-06-05,35.39,3.72,17.84,Silage
Y4092,2024-06-05,36.62,2.82,19.37,Silage
Q711,2024-06-05,29.37,2.75,18.06,Silage
W8010,2024-06-05,31.93,2.84,19.38,Silage
V7756,2024-06-05,34.44,3.46,16.59,Silage
O7477,2024-06-05,32.31,3.67,20.43,Silage
H9517,2024-06-05,33.67,3.34,24.14,Silage
R3357,2024-06-05,31.06,4.1,22.05,Hay
F5883,2024-06-05,37.79,3.05,22.45,Silage
V3948,2024-06-05,32.64,3.66,21.37,Silage
U5357,2024-06-05,33.98,3.75,23.07,Silage
S6097,2024-06-05,39.71,2.94,18.94,Silage
I5026,2024-06-05,34.88,4.15,19.84,Silage
G150,2024-06-05,21.47,3.47,23.04,Hay
C4705,2024-06-05,25.86,3.39,19.69,Hay
T5602,2024-06-05,21.88,3.28,20.02,Hay
A7863,2024-06-05,28.62,2.8,18.61,Hay
S6386,2024-06-05,28.96,3.11,14.74,Hay
O6552,2024-06-05,30.58,3.56,20.71,Hay
S9300,2024-06-05,40.33,3.55,13.84,Silage
K4714,2024-06-05,24.94,3.48,19.46,Hay
N9692,2024-06-05,35.96,3.64,23.05,Silage
G1028,2024-06-05,30.87,3.6,21.23,Hay
I2506,2024-06-05,34.25,2.95,19.96,Silage
U8535,2024-06-05,34.72,4.44,17.01,Silage
M4054,2024-06-05,27.83,3.74,17.68,Silage
Q3500,2024-06-05,29.34,3.05,17.51,Hay
P6677,2024-06-05,33.76,3.26,20.57,Hay
E9760,2024-06-05,23.89,3.79,22.54,Silage
R4684,2024-06-06,28.37,3.45,23.14,Hay
G2757,2024-06-06,36.19,3.89,20.2,Silage
C4705,2024-06-06,22.94,3.77,18.33,Hay
J6077,2024-06-06,30.79,3.69,23.82,Silage
Y9266,2024-06-06,20.55,3.43,21.29,Hay
O8173,2024-06-06,30.86,4.59,16.98,Hay
Q9174,2024-06-06,37.07,3.8,24.9,Silage
H9517,2024-06-06,40.54,2.95,23.63,Silage
E5966,2024-06-06,30.27,3.67,18.76,Silage
V7756,2024-06-06,39.01,4.17,25.17,Silage
B3068,2024-06-06,36.06,3.58,19.36,Hay
Z4043,2024-06-06,38.48,3.93,20.86,Silage
I1385,2024-06-06,34.75,3.37,21.61,Silage
L9829,2024-06-06,37.68,2.88,20.9,Hay
Y4092,2024-06-06,43.41,4.58,20.5,Silage
U1955,2024-06-06,33.41,3.77,21.36,Hay
G8171,2024-06-06,32.2,3.88,21.98,Silage
A7863,2024-06-06,35.28,3.11,21.31,Hay
V4575,2024-06-06,31.65,3.58,20.8,Hay
I5026,2024-06-06,38.03,3.5,17.84,Silage
I8517,2024-06-06,35.86,3.41,23.25,Silage
G685,2024-06-06,31.59,3.78,20.38,Hay
S5427,2024-06-06,27.03,4.1,16.49,Hay
H985,2024-06-06,29.57,4.13,13.84,Silage
D8719,2024-06-06,32.89,3.76,20.46,Hay
P3832,2024-06-06,35.69,3.77,23.38,Silage
G1028,2024-06-06,22.14,3.72,22.14,Hay
K3463,2024-06-06,25.98,3.79,16.72,Hay
M4054,2024-06-06,46.4,3.08,25.14,Silage
Y3782,2024-06-06,25.59,3.28,21.96,Silage
E6182,2024-06-06,36.64,2.59,22.65,Silage
F9953,2024-06-06,26.49,3.12,12.02,Hay
G150,2024-06-06,28.62,3.84,19.43,Hay
D9038,2024-06-06,30.37,3.95,27.19,Hay
I2506,2024-06-06,44.59,3.07,20.69,Silage
V9643,2024-06-06,30.71,3.34,19.16,Silage
Q3500,2024-06-06,28.54,3.92,19.28,Hay
N9692,2024-06-06,39.22,4.03,21.48,Silage
Q711,2024-06-06,38.63,3.12,25.93,Silage
M2207,2024-06-06,27.57,3.53,16.77,Hay
F5883,2024-06-06,33.8,2.12,18.06,Silage
O194,2024-06-06,28.76,3.88,19.11,Hay
V3948,2024-06-06,29.48,3.79,22.22,Silage
N9197,2024-06-06,31.52,3.59,18.1,Silage
E3229,2024-06-06,30.78,3.68,18.38,Hay
O6552,2024-06-06,30.49,2.96,19.78,Hay
E9760,2024-06-06,29.98,3.35,19.02,Silage
Z7830,2024-06-06,33.15,3.84,19.63,Silage
V472,2024-06-06,35.53,3.29,21.12,Silage
S6386,2024-06-06,33.28,3.54,18.65,Hay
F2131,2024-06-06,31.72,2.87,18.83,Hay
U6809,2024-06-06,26.54,3.88,21.14,Hay
S9300,2024-06-06,33.91,2.62,12.07,Silage
U5357,2024-06-06,31.78,2.71,19.4,Silage
N7280,2024-06-06,37.68,3.96,20.03,Hay
B984,2024-06-06,28.81,2.68,21.32,Hay
R5369,2024-06-06,23.86,4.29,16.03,Hay
J7734,2024-06-06,34.57,3.47,23.71,Hay
I7447,2024-06-06,30.82,3.85,13.33,Hay
Z3123,2024-06-06,36.9,3.45,22.62,Hay
H2377,2024-06-06,29.35,4.32,25.34,Silage
V3979,2024-06-06,32.81,4,18.95,Hay
K4714,2024-06-06,34.7,3.86,15.68,Hay
T4649,2024-06-06,28.7,3.16,21.56,Hay
Y4775,2024-06-06,30.97,3.65,22.15,Silage
L4232,2024-06-06,31.26,3.45,15.09,Hay
R3357,2024-06-06,28.34,3.74,15.05,Hay
Y6643,2024-06-06,30.92,3.38,22.75,Silage
K9325,2024-06-06,24.5,3.92,22.27,Hay
P6677,2024-06-06,30.6,3.03,18.95,Hay
W8010,2024-06-06,35.85,3.69,16.28,Silage
J9639,2024-06-06,30.29,3.44,22.01,Silage
M1583,2024-06-06,41.99,4.06,24.29,Silage
T5602,2024-06-06,35.16,3.34,20.68,Hay
Y7815,2024-06-06,26.96,4.04,19.72,Hay
O7477,2024-06-06,32.19,3.49,18.55,Silage
U8535,2024-06-06,27.71,3.01,23.33,Silage
J6910,2024-06-06,30.66,3.35,20.06,Silage
S6097,2024-06-06,50.29,3.97,19.32,Silage
F9953,2024-06-07,28.17,4.04,22.4,Hay
B984,2024-06-07,30.69,2.88,23.71,Hay
J6077,2024-06-07,35.98,3.26,22.25,Silage
S9300,2024-06-07,34.25,3.56,15.93,Silage
F5883,2024-06-07,34.83,3.07,23.34,Silage
R4684,2024-06-07,23.8,3.95,18.48,Hay
L4232,2024-06-07,28.29,3.76,18.32,Hay
Z4043,2024-06-07,40.54,3.85,17.02,Silage
T4649,2024-06-07,33.34,3.83,22.11,Hay
V9643,2024-06-07,34.69,3.5,17.65,Silage
V7756,2024-06-07,36.93,3.22,21.92,Silage
Q9174,2024-06-07,44.62,3.71,20.45,Silage
Y7815,2024-06-07,27.08,3.59,20.55,Hay
Y6643,2024-06-07,32.91,4.2,25.84,Silage
J9639,2024-06-07,35.28,3.45,22.14,Silage
P6677,2024-06-07,25.24,3.68,18.59,Hay
Q3500,2024-06-07,29.86,3.08,20.75,Hay
O7477,2024-06-07,34.88,3.66,21.08,Silage
K9325,2024-06-07,26.24,3.13,18.28,Hay
U8535,2024-06-07,33.53,3.77,23.5,Silage
G2757,2024-06-07,36.23,4.25,27.29,Silage
S6386,2024-06-07,24.74,3.67,19.71,Hay
P3832,2024-06-07,22.07,3.94,18.33,Silage
U6809,2024-06-07,30.69,3.2,20.65,Hay
Z7830,2024-06-07,32.54,3.35,16.73,Silage
V3979,2024-06-07,21.27,3.24,22.74,Hay
H985,2024-06-07,28.58,3.07,21.23,Silage
J6910,2024-06-07,40.24,4.5,18.15,Silage
J7734,2024-06-07,30.33,3.92,19.45,Hay
H2377,2024-06-07,19.77,2.95,18.19,Silage
Y9266,2024-06-07,21.37,2.87,20.49,Hay
I1385,2024-06-07,38.02,3.1,21.09,Silage
G8171,2024-06-07,38.12,3.69,17.9,Silage
Z3123,2024-06-07,31.49,3.19,19.18,Hay
G150,2024-06-07,30.83,3.93,19.71,Hay
T5602,2024-06-07,27.05,3.45,18.86,Hay
Y4092,2024-06-07,39.9,3.6,21.65,Silage
U1955,2024-06-07,27.43,3.2,19.68,Hay
I7447,2024-06-07,30.19,3.54,16.88,Hay
E6182,2024-06-07,29.52,3.94,20.42,Silage
S6097,2024-06-07,30.5,3.24,18.11,Silage
H9517,2024-06-07,31.61,4.06,22.59,Silage
