"cow_ID","Date","milk_L","feed_kg","feed_type"
"G9386","06/07/2024",27.58,20.8,"Silage"
"Y458","17th Dec 2024",29.31,18.5,"corn silage"
"W6659","12th Jul 2024",29.66,20.8,"corn silage"
"Z8330","13th Oct 2024",18.43,17.2,"Corn"
"T480","02-29-2024",23.18,20.6,"corn"
"X9034","03/31/2024",29.64,23.3,"Corn"
"Y5716","08th Apr 2024",28.67,21.5,"silage"
"I4728","2024-08-12",24,23.1,"Hay"
"I4290","07/20/2024",20.04,16.7,"hay"
"E5218","2024-06-19",28.23,20.2,"roughage"
"W9313","2024-05-26",33.27,NA,"hay"
"N9273","08-26-2024",38.87,16.8,"silge"
"N7131","15th Jun 2024",29.81,24.7,"corn silage"
"F1548","2024-04-05",37.47,16.9,"silage"
"A6151","27th Aug 2024",30.42,20.5,"silage"
"Z6778","2024-11-01",30.58,20.5,"Corn"
"J6405","2024-05-11",31.62,20.4,"corn silage"
"Q9789","06/27/2024",25.65,19.4,"corn silage"
"Z2975","06-11-2024",29.74,21.3,"silage"
"Q4301","16th Oct 2024",34.54,NA,"corn silage"
"Z5959","2024-03-17",26.25,16.1,"Hay"
"U9766","11/05/2024",28.39,18,"Hay"
"G1257","08/17/2024",24.26,19.8,"Corn"
"U9750","11/18/2024",31.77,23.8,"corn silage"
"Z3910","12/10/2024",32.12,24.8,"corn"
"I9270","31th Jul 2024",33.24,21,"Hay"
"T1915","04th Nov 2024",23.9,21.1,"corn silage"
"F2800","12th May 2024",30.54,19.3,"hay"
"R5607","2024-09-17",25.28,20.1,"corn"
"Q9486","15th Dec 2024",30,NA,"silge"
"E4013","2024-03-11",36.71,20.9,"roughage"
"Y4493","2024-12-31",NA,18.4,"corn silage"
"T5337","05-24-2024",NA,21,"silge"
"C1232","12th Sep 2024",NA,19,"silage"
"Y3616","04-07-2024",NA,18,"Silage"
"N2833","01-17-2024",32.19,19.3,"silage"
"A8538","07th Jul 2024",26.6,18.9,"corn"
"B7977","2024-09-23",21.49,23.3,"silge"
"D3145","09/26/2024",36.33,20.6,"Corn"
"J3902","2024-12-25",31.8,21.3,"silge"
"A5458","09th Jun 2024",27.08,16.3,"roughage"
"E1393","2024-06-10",20.03,24.5,"silge"
"U9866","17th May 2024",39.51,20.5,"hay"
"Y9259","08/13/2024",NA,NA,"corn"
"H859","07th Feb 2024",31.04,20.9,"corn"
"W7700","23th Jul 2024",34.25,22.6,"Hay"
"Y5027","24th Sep 2024",36.12,15.8,"Silage"
"U9299","2024-10-17",26.49,25.1,"corn silage"
"M2582","04-13-2024",28.24,19.5,"hay"
"R3625","07/05/2024",21.36,23.4,"silge"
"J1732","02-02-2024",26.32,20.2,"corn silage"
"F2507","08-25-2024",NA,19,"Silage"
"G3690","04-27-2024",NA,14.5,"Silage"
"I7858","23th Sep 2024",28.93,16.7,"corn"
"P5093","23th Nov 2024",29.44,19.9,"corn"
"Q3337","21th Mar 2024",20.68,NA,"silge"
"U8904","16th Sep 2024",NA,14.4,"corn silage"
"M4060","2024-03-16",22.78,24.1,"corn silage"
"U2517","10-29-2024",28.96,NA,"Corn"
"H6482","2024-07-02",NA,16.6,"Silage"
"U8391","2024-01-14",28.91,21.4,"Corn"
"G3308","20th Feb 2024",37.3,16.9,"hay"
"T9184","2024-06-03",27.09,19.6,"corn silage"
"R8449","15th Mar 2024",26.08,22.8,"corn silage"
"Q1403","08-23-2024",NA,22.6,"hay"
"A1962","10-01-2024",25.97,17.5,"corn silage"
"B6909","2024-10-03",24.17,18.8,"silage"
"Q9327","18th Feb 2024",32.04,17.1,"Hay"
"B4564","2024-09-18",25.68,21,"corn silage"
"M611","2024-11-20",31.52,15.3,"Silage"
"X1434","08/28/2024",29.27,12.1,"Corn"
"Q7574","2024-08-03",22.83,24.4,"Silage"
"C1922","09/10/2024",26.05,26.8,"Hay"
"R3726","2024-05-23",34.43,18.6,"corn silage"
"B3686","12/28/2024",34.52,22.3,"Silage"
"E5177","2024-08-16",40.03,20,"corn"
"L7558","2024-11-29",29.98,24.4,"roughage"
"Y8481","2024-05-06",22.52,21.7,"silage"
"M465","2024-07-08",26.16,20.6,"roughage"
"J8162","09th Mar 2024",32.04,14.6,"Silage"
"F2535","29th Apr 2024",39.5,23.2,"silge"
"J3336","30th Jan 2024",30.55,18.9,"silage"
"J7645","11-13-2024",35.7,15.8,"silage"
"F1927","2024-04-25",NA,19.4,"Corn"
"P6464","08th Mar 2024",NA,19.6,"hay"
"P4737","03/08/2024",29.14,23.2,"hay"
"C5002","04/05/2024",36.53,16.5,"corn silage"
"D9255","04/01/2024",34.38,18.3,"corn"
"C3219","06/28/2024",32.32,24.5,"silge"
"W949","2024-03-10",32.39,24.1,"roughage"
"C9736","10-24-2024",27.54,23.5,"hay"
"P4162","2024-10-02",23.4,NA,"hay"
"B9069","2024-09-07",36.48,20.6,"hay"
"O3803","2024-03-15",22.9,18.3,"hay"
"W4478","10-22-2024",25.31,NA,"corn"
"C7718","08/16/2024",33.14,23.2,"roughage"
"I4246","2024-08-11",23.69,27.2,"Hay"
"G2638","02/27/2024",27.24,14.1,"roughage"
"I4566","03-23-2024",24.09,20.8,"Silage"
"D4439","10/25/2024",33.1,22,"Corn"
"B160","2024-09-13",32.23,19.8,"Silage"
"V8612","06-10-2024",32.11,15.3,"corn silage"
"Z2491","16th Mar 2024",32.21,22.2,"corn silage"
"L2076","03/07/2024",32.79,17.7,"Corn"
"I632","10-30-2024",33.2,21.5,"corn"
"K5360","01/20/2024",20.16,22.7,"Corn"
"G4760","09-12-2024",29.26,23.9,"silage"
"M8235","03-30-2024",30.56,15.3,"Hay"
"E8415","11th May 2024",33.62,23.2,"hay"
"K5127","2024-01-04",24.06,NA,"roughage"
"A9103","08-05-2024",27.5,16.1,"hay"
"S6495","2024-08-04",24.63,23.9,"silge"
"L1885","09-09-2024",35.29,23.4,"corn silage"
"B7993","03-21-2024",36.4,19.3,"silage"
"U4312","07/31/2024",33.94,22.3,"silage"
"Q6839","02-05-2024",23.89,17.4,"Corn"
"L682","24th May 2024",32.26,19.5,"corn silage"
"C8247","05th Sep 2024",35.75,19.7,"corn silage"
"Y7778","2024-02-28",30.84,19.2,"silage"
"R4749","09th Mar 2024",27.17,22.2,"corn silage"
"O2422","08th Aug 2024",24.57,NA,"Hay"
"V9729","16th May 2024",26.67,18.6,"Hay"
"C6160","10-13-2024",NA,19.9,"Corn"
"S8840","07/16/2024",NA,24.9,"corn silage"
"Y162","2024-10-23",31.14,19,"corn"
"R7614","04th Feb 2024",36.47,12.2,"Hay"
"Q3256","13th Mar 2024",32.89,21.5,"corn silage"
"F8847","10-31-2024",36.82,17.3,"hay"
"J9011","09-07-2024",21.49,17,"corn"
"H2521","22th Mar 2024",28.6,24.3,"silge"
"J6178","2024-11-28",30.33,27.3,"roughage"
"Z8117","2024-12-29",32.89,16.9,"corn silage"
"M3609","06-23-2024",24.15,23.1,"silge"
"T1059","2024-04-02",34.03,19.7,"silage"
"F1710","2024-08-21",31.54,20.4,"Silage"
"T8600","04th Nov 2024",31.32,23.7,"silage"
"T7195","09/28/2024",32.54,20.6,"corn"
"I8860","05-22-2024",29.42,17.4,"silge"
"P7116","2024-12-12",34.63,18.6,"Corn"
"H9003","2024-05-29",33.24,22.1,"silge"
"G4243","05-15-2024",29.25,13,"roughage"
"J2316","11/16/2024",NA,23.3,"silge"
"Q2764","01th Aug 2024",31.46,15.3,"hay"
"R371","07/16/2024",33.34,20.1,"corn"
"H516","17th Sep 2024",27.03,19.4,"corn"
"S5175","09th Jan 2024",37.9,23.9,"Hay"
"J4172","10/13/2024",29.98,20.6,"Silage"
"W8662","07th Mar 2024",34.24,NA,"corn silage"
"K3419","02/01/2024",29.5,NA,"hay"
"Q6269","04th Nov 2024",28.6,17.5,"silge"
"L1445","23th Jan 2024",33.92,19.4,"corn silage"
"B7319","22th Mar 2024",22.08,23.5,"Silage"
"S8911","09th Nov 2024",32.39,22.1,"Silage"
"M2646","2024-04-24",31.97,16.2,"corn"
"M7130","10/07/2024",16.52,21.9,"corn"
"S2027","10-20-2024",31.84,15.9,"silge"
"V303","30th Jan 2024",19.16,18.2,"corn silage"
"J1806","06/14/2024",33.3,23.6,"corn silage"
"P4928","05-11-2024",27.73,13.2,"Corn"
"E5813","2024-07-27",26.53,14.7,"Silage"
"D2825","10th Mar 2024",29.97,23.9,"Corn"
"R7253","06/02/2024",36.87,17.6,"hay"
"A4008","08th Feb 2024",26.82,23.7,"corn silage"
"P5144","2024-12-17",32.79,19.5,"corn silage"
"Q4701","05th May 2024",31.71,21.3,"hay"
"L8185","08-18-2024",24.1,22.4,"corn silage"
"U3364","11-26-2024",21.29,18,"silage"
"B1919","05-28-2024",20.04,19.1,"Hay"
"R4634","12-18-2024",32.76,18.8,"corn silage"
"L2760","04/24/2024",29.83,28.4,"Silage"
"O5025","11-23-2024",39.25,20.4,"Corn"
"S702","2024-01-17",NA,NA,"Silage"
"U4438","2024-12-15",34.25,19,"Hay"
"F75","11-29-2024",36.67,19.3,"corn silage"
"P9422","05-14-2024",27.5,NA,"Silage"
"Z7600","2024-07-13",32.55,19,"corn"
"O5410","03th Aug 2024",34.34,20.1,"roughage"
"S5084","2024-07-25",36.85,21.1,"silage"
"C7533","10-06-2024",NA,18.7,"roughage"
"N2081","03/27/2024",32.11,25.9,"Silage"
"A4296","2024-02-15",25.66,15.7,"silge"
"X7982","01/27/2024",33.65,NA,"silage"
"A5760","02-18-2024",32.5,18.9,"silage"
"P1704","05-15-2024",33.17,24.1,"Corn"
"K4337","12th Aug 2024",NA,NA,"hay"
"D8043","2024-12-07",28.99,22.9,"hay"
"X3575","07th Apr 2024",29.62,22.6,"corn silage"
"L8069","2024-03-17",33.44,16.2,"corn"
"M3999","07-29-2024",30.86,17.7,"silge"
"J9318","04/04/2024",25.85,NA,"roughage"
"J6735","01/20/2024",28.55,23.4,"hay"
"X7001","2024-06-05",23.4,17.7,"hay"
"G399","07-02-2024",25.16,19.3,"hay"
"R4097","2024-09-02",29.28,24.7,"hay"
"Q1697","05-16-2024",21.01,16.6,"corn"
"T3229","07-26-2024",21.56,22.8,"roughage"
"I6299","07/31/2024",NA,21.3,"Hay"
"U980","2024-08-12",27.12,16.7,"roughage"
"K4310","09-11-2024",20.74,18,"Silage"
"L1721","02/18/2024",NA,22.3,"Corn"
"H6429","2024-02-11",36.61,20.7,"Silage"
"R7896","18th May 2024",33.31,24.3,"corn silage"
"E3494","2024-03-05",32.21,18.2,"corn silage"
"R1349","19th Dec 2024",35.92,14.9,"Corn"
"F5826","21th Jul 2024",26.14,23.1,"corn"
"J4525","04-22-2024",NA,18.2,"Corn"
"Z1722","11/13/2024",27.06,NA,"silage"
"I2797","08-29-2024",30,25.2,"Hay"
"K5679","10th Aug 2024",41.07,19.2,"hay"
"W3611","01-14-2024",34.85,24.6,"roughage"
"F4811","08/19/2024",33.84,16.7,"hay"
"L8945","09th Dec 2024",24.46,22.8,"silge"
"S6528","02/06/2024",26.07,20.7,"corn silage"
"X9592","2024-12-26",41.42,17.8,"silage"
"W6304","2024-04-02",24.53,16.2,"silage"
"D7052","05-17-2024",NA,20.2,"Corn"
"X1905","02/18/2024",34.46,20.8,"corn silage"
"C334","02-21-2024",35.09,20.8,"corn silage"
"N3148","29th May 2024",35.45,21.6,"silage"
"H2221","06/20/2024",NA,18.6,"corn silage"
"F3677","11th Sep 2024",25.9,18.5,"Hay"
"D5750","2024-09-23",28.46,20.7,"Hay"
"W7019","2024-09-30",25.49,NA,"Corn"
"J8806","05/06/2024",33.14,23.7,"corn silage"
"P803","05-19-2024",35.6,20.5,"corn"
"X9271","07/17/2024",40.64,18.2,"Hay"
"P824","2024-06-22",31.83,14.6,"corn silage"
"T4610","12-03-2024",25.63,NA,"hay"
"J5336","2024-07-09",NA,26.1,"corn"
"Y7690","2024-10-31",NA,NA,"silge"
"F6154","11-21-2024",28.81,17.5,"roughage"
"S2277","01-30-2024",NA,22,"corn silage"
"D3423","07-16-2024",33.81,21.3,"silge"
"I8804","18th Oct 2024",35.65,22.3,"silage"
"Y2692","29th Jun 2024",28.52,19.2,"Silage"
"D2382","06/05/2024",32.68,NA,"silage"
"O6386","19th Oct 2024",28.62,16.5,"corn"
"T1631","07th Jul 2024",33.41,19.9,"silge"
"V317","2024-12-31",29.41,17.9,"Corn"
"U8610","06/30/2024",28.28,22,"silge"
"Q1626","2024-07-01",30.56,20.4,"roughage"
"X6037","02-15-2024",28.58,23.3,"silge"
"G4238","02/20/2024",27.04,26.2,"hay"
"O5700","02-01-2024",28.42,20.4,"corn"
"E3201","10th Jun 2024",NA,18.4,"corn"
"N9739","25th Jul 2024",31.04,17.5,"Hay"
"V5847","2024-09-22",37.66,19.2,"Silage"
"O7442","11/20/2024",23.21,NA,"corn silage"
"O4818","09-17-2024",29,26,"hay"
"P8125","2024-07-01",33.16,16.6,"silge"
"S1234","08-28-2024",38.81,16.7,"corn silage"
"H7364","05-01-2024",32.13,18.8,"Silage"
"Z6863","2024-04-23",29.93,21.8,"Silage"
"E8678","05/09/2024",28.46,22.5,"corn"
"G4967","09/11/2024",32.07,17.3,"corn"
"T8735","11-13-2024",34.95,20.4,"silge"
"P7833","05-18-2024",29.08,19.9,"corn silage"
"P3987","11-15-2024",30.82,23.6,"corn silage"
"I8343","04/10/2024",31.08,23.3,"Corn"
"K3398","2024-03-21",33.65,19.1,"Silage"
"K3490","08-25-2024",NA,20.1,"Corn"
"S4045","04/08/2024",31.4,22,"hay"
"J536","03th Jul 2024",29.62,15,"corn silage"
"W3100","15th Dec 2024",36.97,19.1,"corn silage"
"B5647","10/13/2024",30.82,21.7,"hay"
"Y7460","2024-02-20",37.89,NA,"corn silage"
"F5867","2024-08-13",29.69,19.8,"silage"
"T4094","01/17/2024",33.07,19.9,"Hay"
