"vid","date","feed KG","Feed Type"
"Y6643","06/11/2024",19.22,"Corn"
"K9325","10/16/2024",19.07,"hay"
"Y4092","03/17/2024",12.66," hay "
"H9517","11-05-2024",15.66,"Hay"
"M4054","08/17/2024",20.65,"Hay"
"Y4092","11/18/2024",21.7,"corn silage"
"P3832","12-10-2024",21.35,"Hay"
"V9643","07/31/2024",20.54,"Hay"
"U5357","04 Nov 2024",18.82," silage"
"U6809","05/12/2024",20.24,"silge"
"M2207","09/17/2024",20.08,"hay"
"F5883","12-15-2024",20.72,"Corn"
"Z7830","03-11-2024",20.97," silage"
"S9300","12-31-2024",20.51," silage"
"L9829","24 May 2024",24.22," silage"
"J7734","2024-09-12",23.03," hay "
"J7734","2024-04-07",20.77,"corn"
"T5602","2024-01-17",22,"Corn"
"V9643","07-07-2024",12.23," silage"
"E3229","09-23-2024",19.27,"silge"
"V3979","26 Sep 2024",16.68," silage"
"V3979","2024-12-25",23.84," silage"
"O7477","09 Jun 2024",20.05,"silge"
"Z3123","06/10/2024",17.98,"Corn"
"Q3500","05/17/2024",21.25,"hay"
"J6077","2024-08-13",25.45,"hay"
"T4649","07 Feb 2024",18.29,"silage"
"Y4775","07/23/2024",18.77,"hay"
"G685","2024-09-24",NA," silage"
"S6386","2024-10-17",18.28," silage"
"L9829","13 Apr 2024",22.71,"Hay"
"U8535","05 Jul 2024",17.76,"silge"
"Q9174","02-02-2024",19.76," silage"
"T5602","08/25/2024",16.83,"silage "
"A7863","04/27/2024",20.82,"silage"
"Y4775","23 Sep 2024",19.41," silage"
"M4054","2024-11-23",16.15," silage"
"N9692","03/21/2024",18.07,"silge"
"I5026","09/16/2024",17.09,"silge"
"R4684","16 Mar 2024",16.12," hay "
"S6386","2024-10-29",17.41,"silage"
"V3979","02 Jul 2024",13.51,"Hay"
"I5026","2024-01-14",24.1,"hay"
"U6809","20 Feb 2024",18.51,"corn silage"
"J6077","2024-06-03",20.47,"Hay"
"U8535","03/15/2024",NA,"corn silage"
"R5369","08/23/2024",20.9," hay "
"G685","10-01-2024",20.07,"corn"
"Z7830","2024-10-03",22.26,"hay"
"R3357","18 Feb 2024",23.2,"corn"
"O6552","09-18-2024",17.99," hay "
"O7477","11/20/2024",15.5,"Hay"
"Q9174","08-28-2024",20.73,"silge"
"S6386","08-03-2024",19.64,"hay"
"D9038","10 Sep 2024",17.58,"corn silage"
"V3979","23 May 2024",20.27,"silage "
"O194","2024-12-28",22.78,"silage"
"S6386","08-16-2024",20.16,"silge"
"W8010","29 Nov 2024",16.33," silage"
"R3357","2024-05-06",20.95,"silge"
"G150","07-08-2024",16.56,"Corn"
"Y7815","03-09-2024",20.82,"silage "
"F2131","04-29-2024",20.61,"corn"
"G1028","01-30-2024",24.54,"Corn"
"U8535","2024-11-13",19.43,"Corn"
"C4705","2024-04-25",22.2,"silge"
"J6910","08 Mar 2024",22.66,"Hay"
"L9829","08 Mar 2024",19.37,"corn silage"
"H9517","04/05/2024",15.59," hay "
"C7126","04/01/2024",19.89,"silge"
"Q3500","06/28/2024",NA,"corn silage"
"J9639","10 Mar 2024",21.17," hay "
"I5026","24 Oct 2024",20.52,"hay"
"K9325","10/02/2024",19.36,"corn silage"
"Y6643","09/07/2024",23.27,"Corn"
"F5883","03/15/2024",19.91,"corn"
"Y9266","10/22/2024",19.73,"Hay"
"U1955","2024-08-16",21.37,"corn silage"
"G150","11 Aug 2024",21.18,"silage"
"R3357","02-27-2024",25.28,"corn silage"
"Q711","03/23/2024",23.88,"corn silage"
"Z3123","2024-10-25",22.95,"silage "
"E6182","2024-09-13",20.79,"silage"
"Y7815","10 Jun 2024",18.1," silage"
"F5883","2024-03-16",16.74," silage"
"T4649","03/07/2024",17.2,"corn silage"
"A7863","30 Oct 2024",17.41," hay "
"A7863","01-20-2024",21.51,"hay"
"T4649","12 Sep 2024",18.31,"silage"
"Q711","30 Mar 2024",NA,"silage"
"Y7815","11 May 2024",23.96,"corn silage"
"S5427","04 Jan 2024",20.82,"Hay"
"H985","05 Aug 2024",20.03,"silage "
"S5427","04 Aug 2024",17.66,"corn silage"
"Y3782","09/09/2024",17.9,"silage"
"J6077","03-21-2024",17.72,"corn"
"H985","2024-07-31",19.49," silage"
"V3948","02-05-2024",18.03,"corn silage"
"S5427","05/24/2024",20.47,"Hay"
"G1028","05 Sep 2024",23.28,"silge"
"T4649","02/28/2024",20.9,"Silage"
"D8719","2024-03-09",18.32,"silage "
"Y3782","08-08-2024",16.77,"silage "
"U1955","16 May 2024",20.6," silage"
"Z3123","10-13-2024",20.25,"Corn"
"P3832","07-16-2024",17.22,"corn silage"
"I8517","10-23-2024",21.16,"Hay"
"F2131","04 Feb 2024",21.98,"Hay"
"S6097","03-13-2024",19.17,"hay"
"M2207","2024-10-31",20.94,"corn"
"J6910","09/07/2024",17.94,"Silage"
"V3948","03-22-2024",26.8,"silage "
"E6182","11-28-2024",14.92,"Silage"
"H9517","12/29/2024",21.76,"silge"
"G685","2024-06-23",20.2,"corn silage"
"V3948","04-02-2024",15.79,"silage "
"E3229","08/21/2024",18.97,"corn"
"Z3123","2024-11-04",17.86,"hay"
"I7447","28 Sep 2024",18.51,"Corn"
"G150","05-22-2024",17.99,"silge"
"R5369","12-12-2024",19.01," silage"
"M2207","05-29-2024",20.51," hay "
"Z4043","2024-05-15",17.06,"Corn"
"U5357","16 Nov 2024",20.96,"corn silage"
"W8010","2024-08-01",17.26," silage"
"G8171","07/16/2024",23.96," silage"
"I7447","2024-09-17",19.57,"silge"
"G1028","01/09/2024",17.09,"silage "
"L9829","10-13-2024",19.21,"Hay"
"V4575","07 Mar 2024",22.21,"silage "
"H2377","2024-02-01",21," silage"
"D8719","2024-11-04",18.97,"silge"
"J6910","01-23-2024",25.12,"Silage"
"K4714","2024-03-22",20.92," hay "
"L4232","11/09/2024",19.3," silage"
"B984","2024-04-24",18.28,"corn"
"V3948","2024-10-07",23.56," hay "
"U1955","20 Oct 2024",21.64,"Corn"
"J7734","30 Jan 2024",15.43,"Silage"
"U1955","14 Jun 2024",23.09,"Hay"
"S6386","05-11-2024",22.37,"Silage"
"Y3782","07-27-2024",NA,"silage"
"C4705","10 Mar 2024",15.52,"hay"
"C4705","06/02/2024",19.32,"corn"
"W8010","08 Feb 2024",19.08,"silage "
"K9325","12/17/2024",20.53,"Hay"
"I7447","05/05/2024",13.32,"silage"
"Q3500","08/18/2024",22.92,"silage"
"T4649","11-26-2024",15.3,"corn silage"
"N9692","2024-05-28",NA,"hay"
"S5427","18 Dec 2024",16.74,"Hay"
"I1385","04-24-2024",18.54,"silge"
"M4054","2024-11-23",17.35," silage"
"Y3782","17 Jan 2024",20.56," silage"
"G150","12/15/2024",19.51,"Silage"
"K4714","11/29/2024",19.74,"Silage"
"Z4043","05-14-2024",21.91,"silage "
"Q3500","2024-07-13",22.99,"silge"
"S9300","03 Aug 2024",23.26,"corn"
"G2757","07-25-2024",21.43," silage"
"M2207","10-06-2024",19.26,"corn silage"
"L4232","2024-03-27",17.36,"Corn"
"L9829","02/15/2024",NA,"silage "
"S6097","2024-01-27",23.94,"silage"
"N7280","2024-02-18",20.3,"corn silage"
"H985","05-15-2024",25.75,"silge"
"V4575","2024-08-12",22.32," hay "
"A7863","2024-12-07",21.82," silage"
"N7280","04/07/2024",NA,"silage"
"H9517","2024-03-17",22.71,"silage "
"L4232","29 Jul 2024",23.02,"Corn"
"D8719","04/04/2024",13.69,"corn silage"
"B984","01-20-2024",19.83,"silage"
"M1583","06/05/2024",19.57,"silage"
"R3357","07-02-2024",21.34,"Silage"
"S6097","02 Sep 2024",25.81,"Silage"
"E5966","05/16/2024",25.79,"Corn"
"I1385","2024-07-26",NA," hay "
"I2506","07/31/2024",21.14,"silge"
"N9197","08-12-2024",27.93,"Corn"
"L9829","11 Sep 2024",NA,"corn"
"E6182","18 Feb 2024",16.07,"corn"
"B3068","02-11-2024",NA,"silge"
"F5883","05/18/2024",19.96,"Silage"
"T5602","05 Mar 2024",23,"hay"
"U1955","12/19/2024",18.23,"corn silage"
"J6077","21 Jul 2024",21.63,"Silage"
"Y9266","22 Apr 2024",15.99,"silage"
"I2506","2024-11-13",20.88,"Hay"
"E3229","08/29/2024",19.19,"Corn"
"A7863","08-10-2024",23.93,"silage "
"N9692","2024-01-14",NA,"Silage"
"K9325","08-19-2024",20.45,"Silage"
"J9639","2024-12-09",20.94,"corn silage"
"Q9174","06 Feb 2024",19.84,"Silage"
"L4232","12-26-2024",22.87," silage"
"P3832","02 Apr 2024",20.58," hay "
"Q3500","2024-05-17",18.36,"hay"
"S6386","2024-02-18",20.92,"Silage"
"R5369","2024-02-21",17.83,"silage"
"N9692","29 May 2024",17.15,"silage"
"R3357","06-20-2024",NA," hay "
"D8719","11 Sep 2024",21.83,"Corn"
"F9953","09/23/2024",21.33,"Silage"
"D9038","30 Sep 2024",18.93,"silage"
"V7756","05/06/2024",25.26,"silage "
"N7280","05/19/2024",17.45," silage"
"V3948","07/17/2024",19.89,"Corn"
"J7734","22 Jun 2024",18.67,"silage "
"R3357","03 Dec 2024",21.44,"silge"
"M2207","07-09-2024",19.77,"Silage"
"Y6643","10/31/2024",19.99,"corn silage"
"E6182","11-21-2024",21.47,"Corn"
"T5602","2024-01-30",16.36,"corn silage"
"I5026","2024-07-16",19.41,"Hay"
"I8517","2024-10-18",25.13,"hay"
"I5026","29 Jun 2024",17.72,"Silage"
"C7126","05 Jun 2024",22.92,"silage "
"V472","10-19-2024",16.9,"Silage"
"R4684","2024-07-07",22.31,"corn"
"Z4043","2024-12-31",20.9,"hay"
"J6077","30 Jun 2024",21.27,"Corn"
"I7447","01 Jul 2024",20.02,"silge"
"B984","15 Feb 2024",22.22,"hay"
"O194","02-20-2024",24.68,"silage "
"T4649","01 Feb 2024",18.75,"silage "
"G1028","06-10-2024",18.74,"Corn"
"Y4092","07-25-2024",22.09," silage"
"Y4775","22 Sep 2024",19.37," silage"
"B984","2024-11-20",24.62,"Hay"
"V472","17 Sep 2024",20.85,"silage "
"S9300","07/01/2024",20.97,"hay"
"I1385","2024-08-28",16.79,"silge"
"V9643","05-01-2024",24.28," silage"
"G150","04-23-2024",23.6," hay "
"G1028","05/09/2024",14.97,"silage "
"E6182","11 Sep 2024",25.49," hay "
"O194","13 Nov 2024",18.39," silage"
"P6677","05-18-2024",17.49," silage"
"S6097","11/15/2024",17.72," hay "
"E3229","2024-04-10",16.03,"silge"
"N9692","03/21/2024",22.37,"silage"
"G8171","25 Aug 2024",15.87,"Corn"
"K4714","08 Apr 2024",16.79,"Silage"
"Z3123","07-03-2024",17.04,"hay"
"Q3500","12/15/2024",21.61,"silage "
"Y6643","10-13-2024",18.66,"silage "
"Z3123","02-20-2024",19.99," silage"
"O8173","13 Aug 2024",18.13,"silage"
"U8535","01/17/2024",21.38," hay "
"I8517","04/24/2024",18.27,"Corn"
"T4649","11-24-2024",25.06," hay "
"Y4092","11-13-2024",NA,"Corn"
"E9760","2024-05-01",18.23,"corn"
"P3832","07-05-2024",24.15,"Corn"
"Y9266","04 Jul 2024",20.1,"Hay"
"S5427","26 Mar 2024",16.99,"silage"
"V9643","2024-02-01",17.13,"hay"
"B3068","2024-04-11",21.47,"corn"
"H2377","04-13-2024",16.46,"silge"
"U8535","03 May 2024",24.67," silage"
"Q711","08 May 2024",17.29,"silge"
"V9643","2024-03-11",15.49," silage"
"I2506","2024-12-12",15.31,"corn silage"
"Q3500","11 Mar 2024",17.02," silage"
"G1028","02-05-2024",21.67,"silge"
"Y6643","2024-11-20",14.2,"silge"
"R3357","03/15/2024",18.54,"silage "
"J7734","10/09/2024",19.79," silage"
"R3357","02-11-2024",15.74,"Corn"
"N7280","03/15/2024",NA," hay "
"U6809","02/02/2024",12.13,"corn silage"
"H985","2024-04-15",14.97,"hay"
"K3463","02-01-2024",24.63,"silge"
"G2757","09-05-2024",25.04," hay "
"B3068","08 Dec 2024",23.13," silage"
"B984","03-25-2024",27.62,"silage"
"C4705","10/26/2024",18.31,"hay"
"S5427","07-08-2024",25.23,"Corn"
"P6677","04/05/2024",16.58,"silge"
"T4649","09 Feb 2024",22.73,"Corn"
"P6677","2024-03-19",14.92,"corn silage"
"T5602","08-11-2024",21.61,"Silage"
"I2506","2024-07-17",13.56," silage"
"H985","09-26-2024",15.04,"Hay"
"V3979","27 Dec 2024",16.48,"Silage"
"Z3123","2024-10-30",17.78,"Silage"
"I8517","03-29-2024",NA,"hay"
"M2207","09-15-2024",19.43,"corn"
"G685","10/05/2024",24," silage"
"O8173","2024-03-15",24.46," hay "
"C7126","2024-11-12",22.58,"Hay"
"Y4775","05-02-2024",18.77,"hay"
"Q9174","2024-12-16",20.03,"Hay"
"O7477","11-13-2024",19.57,"Hay"
"B3068","13 Jul 2024",23,"hay"
"F9953","2024-09-11",19.78,"Hay"
"M1583","2024-07-06",17.74,"Hay"
"L4232","2024-12-12",21.66,"corn"
"E6182","2024-02-18",13.47,"silage"
"N9197","12-10-2024",20.28,"silage"
"L9829","10 Oct 2024",17.94,"hay"
"O8173","2024-07-23",18.95,"corn"
"H9517","10-26-2024",21.8,"silge"
"F2131","20 Aug 2024",20.7,"silage "
"J7734","11-02-2024",21.87,"corn silage"
"O7477","2024-01-31",20.08,"corn"
"C4705","17 Aug 2024",17.48,"corn silage"
"E9760","11/28/2024",16.95,"corn silage"
"I5026","15 Mar 2024",19.86,"corn"
"Q711","2024-07-03",26.07,"silage"
"J7734","2024-02-15",14.91,"corn"
"Z3123","11-02-2024",20.51," silage"
"Z4043","02-29-2024",18.43,"Corn"
"S6097","11-13-2024",17.8," hay "
"F9953","06 Nov 2024",21.67,"Silage"
"L9829","23 Apr 2024",19.28,"silage"
"F2131","2024-10-04",24.1,"silage "
"A7863","09-01-2024",17.66,"corn"
"G150","01-12-2024",14.77,"silage"
"Y4092","02-13-2024",16.37," hay "
"V9643","21 Dec 2024",16.34,"corn"
"J6077","2024-11-12",22.19,"Corn"
"O194","08/07/2024",20.35," silage"
"K4714","06-25-2024",21.82,"silge"
"G685","06-20-2024",20.77,"Hay"
"Y7815","2024-11-17",22.82,"hay"
"I2506","13 Jun 2024",23.57,"corn"
"U8535","2024-10-01",22.86,"silage"
"G8171","2024-03-17",18.72,"corn"
"G685","2024-04-12",17.38,"corn"
"F5883","2024-04-03",21.62,"silage"
"K9325","02/25/2024",22.78," silage"
"V472","2024-05-23",17.1,"silage "
"M2207","04-17-2024",22.48," hay "
"V3948","11 Apr 2024",17.92,"Corn"
"I7447","02/25/2024",19.23,"silage"
"L9829","2024-01-26",18.47,"silage "
"I8517","06-21-2024",18.77,"hay"
"N7280","10-20-2024",12.03,"corn silage"
"A7863","2024-01-10",20.76,"corn silage"
"T5602","10 Jan 2024",NA,"Corn"
"W8010","02-07-2024",NA,"silage "
"K9325","08/06/2024",NA," hay "
"O6552","11-02-2024",19.63,"corn silage"
"S6097","08/02/2024",19.13,"Silage"
"H9517","11/05/2024",22.83," silage"
"E9760","12-06-2024",22.13,"Hay"
"V4575","2024-11-17",21.5,"corn silage"
"V9643","02 Aug 2024",13.8,"corn"
"W8010","26 May 2024",20.94,"silge"
"K9325","11/28/2024",14.18,"corn silage"
"U8535","02 Feb 2024",27.13,"hay"
"R5369","10/20/2024",NA,"corn"
"R4684","03/04/2024",16.32,"Corn"
"V3948","2024-06-13",20,"silage "
"J7734","17 Jul 2024",20.54,"Corn"
"S5427","01-26-2024",23.18,"corn"
"K3463","23 Jun 2024",23.5,"corn"
"R5369","08-16-2024",8.52," silage"
"V3979","10-19-2024",22.92,"silage"
"M4054","02/01/2024",14.38," hay "
"Q9174","05-02-2024",22.09,"corn"
"C4705","02/14/2024",15.34,"Silage"
"E9760","10/22/2024",19.35,"silage"
"S6097","2024-08-30",20.6," silage"
"V3979","18 Dec 2024",26.73,"Silage"
"F5883","2024-02-05",18.21,"silge"
"D8719","02 Jul 2024",27.13,"silge"
"I5026","02/19/2024",15.73,"silage"
"Y3782","2024-03-08",18.75,"Corn"
"T5602","2024-02-09",17.98,"Corn"
"W8010","2024-10-10",17.18,"corn silage"
"V4575","2024-12-06",21.5,"hay"
"K9325","11/05/2024",21.49,"hay"
"Q711","02-24-2024",13.12,"corn silage"
"E5966","04/30/2024",17.11,"silage"
"H985","12 Jun 2024",14.94,"silage "
"I7447","28 Oct 2024",23.66,"silage "
"J6910","16 Dec 2024",22.58,"silge"
"R3357","01-12-2024",21.49,"silge"
"Q711","2024-01-11",25.69,"Silage"
"C7126","2024-08-03",20.14,"corn"
"Q3500","01/30/2024",20.97," hay "
"E6182","2024-09-10",16.71,"Hay"
"K9325","08-03-2024",26.36,"hay"
"A7863","29 Sep 2024",NA,"corn"
"V3948","14 Mar 2024",18.24," hay "
"A7863","05 Nov 2024",18.55,"silge"
"Z7830","03-10-2024",26.69,"Hay"
"N7280","07/20/2024",16.84,"Hay"
"R3357","2024-07-29",21.4,"Hay"
"E3229","04/11/2024",19.42,"silage "
"L9829","09-07-2024",22.9,"silage "
"Y4092","06-17-2024",22.6,"corn"
"F2131","01 Apr 2024",16.77,"Corn"
"I1385","03 May 2024",12.81,"corn silage"
"O6552","02/17/2024",25.54,"corn"
"R4684","2024-08-24",26.43,"Silage"
"V7756","11/24/2024",18.05,"silage"
"B3068","2024-09-11",24.88,"silage"
"J9639","09-19-2024",21.88,"corn silage"
"I1385","27 Jun 2024",19.31,"silage"
"J6910","12-03-2024",22.18," silage"
"L9829","09 Dec 2024",19.99,"corn silage"
"G2757","23 Nov 2024",22.05,"hay"
"Z3123","2024-07-10",20.8," silage"
"G685","11 Nov 2024",21.33,"Hay"
"W8010","01/16/2024",19.52,"silage "
"T4649","02-16-2024",NA,"Silage"
"H985","2024-03-01",24.3,"silge"
"G2757","11-13-2024",22.28," hay "
"F2131","01 Jun 2024",21.37,"Hay"
"D8719","07/26/2024",20.74,"silage"
"S5427","2024-11-20",19.96,"silge"
"Y9266","05 Oct 2024",15.56,"hay"
"C7126","2024-03-07",17.36,"Silage"
"V9643","10 Mar 2024",23,"silage"
"K3463","01-11-2024",20.63,"silge"
"B3068","2024-08-22",18.47,"Corn"
"N9692","2024-08-12",21.96," silage"
"V472","07/08/2024",16.97,"hay"
"V472","23 Nov 2024",20.61," hay "
"U8535","03-11-2024",17.5,"corn silage"
"F9953","19 Mar 2024",18.12,"corn silage"
"E5966","04/08/2024",21.53," hay "
"V472","07 Jan 2024",18.2,"hay"
"R4684","09-12-2024",19.72,"Hay"
"Z3123","01/13/2024",20.94,"Silage"
"M2207","2024-12-05",16.62,"Hay"
"N9197","2024-07-19",27.14,"corn silage"
"V3979","01 Sep 2024",23.14,"corn silage"
"V7756","2024-09-05",20.89," silage"
"A7863","12-24-2024",14.64,"silage "
"J6077","08-07-2024",23.01,"corn silage"
"V7756","03-13-2024",23.73," hay "
"V3948","11 Aug 2024",21.54,"Silage"
"N9692","05 Sep 2024",21.42,"Corn"
"Q3500","09/03/2024",18.45," hay "
"J9639","2024-07-29",15.02,"silage "
"U6809","02-03-2024",20.67,"silage"
"N9692","07 Jul 2024",25.42," silage"
"Q3500","02 Jul 2024",20.57,"silage "
"V472","11-27-2024",16.51,"corn"
"O194","11/25/2024",29.05,"silage "
"G150","2024-01-16",18.84,"silage "
"Q3500","04-07-2024",21.69,"corn"
"F5883","14 Mar 2024",22.66,"Hay"
"I2506","08/30/2024",18.93,"corn silage"
"J6077","2024-07-12",20.75,"Corn"
"J6910","2024-05-28",18.89,"silage"
"T5602","15 May 2024",20.12," silage"
"F2131","2024-10-15",23.65,"corn silage"
"V9643","2024-12-18",22.88,"Hay"
"U5357","07/25/2024",18.69," silage"
"U1955","12-09-2024",24.32,"silage "
"U6809","01-16-2024",22.45,"silge"
"I7447","09-16-2024",14.73,"silge"
"V3979","2024-06-15",19.86," hay "
"I8517","07 Apr 2024",24.48," silage"
"Y7815","12/13/2024",NA,"hay"
"L9829","2024-07-29",18.4,"Silage"
"Q3500","05-30-2024",22.86," silage"
"Q3500","05-26-2024",21.41,"Silage"
"S5427","22 Nov 2024",17.31," silage"
"V472","07/22/2024",21.61,"silage "
"H9517","11/08/2024",17.75,"Silage"
"P3832","24 Jun 2024",16.86,"corn silage"
"I2506","01-23-2024",13.4,"silage"
"B984","05-18-2024",22.55,"silge"
"E3229","02-15-2024",20.72,"silage "
"G685","2024-03-29",20.81," hay "
"I5026","2024-03-29",24.87,"silage"
"E5966","09-29-2024",16.47," hay "
"V9643","04 Oct 2024",18.36,"silage"
"H2377","23 Jul 2024",17.57," hay "
"E6182","07 Dec 2024",19.64,"silge"
"R5369","10-07-2024",26.73,"silage "
"G8171","11/11/2024",23.32,"Hay"
"F9953","03 Aug 2024",17.28,"hay"
"B3068","01 May 2024",21.83," silage"
"C7126","04/11/2024",16.75,"corn"
"Q711","09-27-2024",17.12," silage"
"F9953","08/20/2024",21.93,"Hay"
"L4232","05-22-2024",23.18,"Hay"
"N9692","05 Feb 2024",19.06,"Corn"
"B3068","2024-01-25",14.35," silage"
"O194","01-05-2024",21.66," hay "
"Q3500","03-21-2024",21.14,"Silage"
"V3948","20 Feb 2024",22.24,"Silage"
"O7477","2024-12-22",15.34,"hay"
"J7734","2024-09-12",23.48,"silage "
"Y3782","03-28-2024",20.84," hay "
"K9325","15 Mar 2024",15.02,"Hay"
"S5427","05/14/2024",NA,"Silage"
"R3357","09-27-2024",20.35,"silage"
"Y7815","08-05-2024",22.96,"Silage"
"U6809","12-08-2024",15.11,"Hay"
"E9760","2024-09-23",22.82,"Silage"
"Q711","02-17-2024",20.04,"Silage"
"M4054","10-07-2024",20.95,"Corn"
"V9643","05-17-2024",17.71," silage"
"B3068","2024-10-10",18.9,"Hay"
"Y7815","05-13-2024",19.25,"silge"
"Q711","2024-01-12",17.96,"Corn"
"Y6643","05/26/2024",19.49,"corn"
"I1385","23 Aug 2024",19.31,"hay"
"E5966","09-20-2024",18.26,"Silage"
"Y4092","2024-02-24",20.4,"Corn"
"Z7830","12/13/2024",24.62,"Hay"
